countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-09-29,SURVEY,rcsi,17877849,0.5232945307268804
YEM,Yemen,,national,2024-09-28,SURVEY,fcs,20979905,0.614093405621126
YEM,Yemen,,national,2024-09-28,SURVEY,rcsi,17910940,0.524263122603693
YEM,Yemen,,national,2024-09-27,SURVEY,fcs,21102652,0.6176862985828252
YEM,Yemen,,national,2024-09-27,SURVEY,rcsi,17982222,0.5263495861787726
YEM,Yemen,,national,2024-09-26,SURVEY,fcs,21086198,0.6172046809000391
YEM,Yemen,,national,2024-09-26,SURVEY,rcsi,17998175,0.5268165393143923
YEM,Yemen,,national,2024-09-25,SURVEY,fcs,21017452,0.6151924474479414
YEM,Yemen,,national,2024-09-25,SURVEY,rcsi,18053757,0.5284434552038185
YEM,Yemen,,national,2024-09-24,SURVEY,fcs,20994503,0.6145207175219503
YEM,Yemen,,national,2024-09-24,SURVEY,rcsi,18046466,0.5282300436002453
YEM,Yemen,,national,2024-09-23,SURVEY,fcs,21021808,0.6153199499777954
YEM,Yemen,,national,2024-09-23,SURVEY,rcsi,18055451,0.5284930395209839
YEM,Yemen,,national,2024-09-22,SURVEY,fcs,20953218,0.613312282732001
YEM,Yemen,,national,2024-09-22,SURVEY,rcsi,18093954,0.5296200436318574
YEM,Yemen,,national,2024-09-21,SURVEY,fcs,21087060,0.6172299121169201
YEM,Yemen,,national,2024-09-21,SURVEY,rcsi,18198064,0.5326674009282512
YEM,Yemen,,national,2024-09-20,SURVEY,fcs,21137402,0.6187033895566268
YEM,Yemen,,national,2024-09-20,SURVEY,rcsi,18343623,0.5369279933853233
YEM,Yemen,,national,2024-09-19,SURVEY,fcs,21138705,0.6187416022626132
YEM,Yemen,,national,2024-09-19,SURVEY,rcsi,18285471,0.5352258521741055
YEM,Yemen,,national,2024-09-18,SURVEY,fcs,21223696,0.6212293087771623
YEM,Yemen,,national,2024-09-18,SURVEY,rcsi,18368957,0.5376695335807593
YEM,Yemen,,national,2024-09-17,SURVEY,fcs,21312581,0.6238310213907571
YEM,Yemen,,national,2024-09-17,SURVEY,rcsi,18492863,0.5412963307488216
YEM,Yemen,,national,2024-09-16,SURVEY,fcs,21313376,0.6238543066408914
YEM,Yemen,,national,2024-09-16,SURVEY,rcsi,18580093,0.5438496011067547
YEM,Yemen,,national,2024-09-15,SURVEY,fcs,21257171,0.6222091551968052
YEM,Yemen,,national,2024-09-15,SURVEY,rcsi,18533021,0.5424717776252846
YEM,Yemen,,national,2024-09-14,SURVEY,fcs,21275068,0.622733010287897
YEM,Yemen,,national,2024-09-14,SURVEY,rcsi,18490177,0.5412177100428556
YEM,Yemen,,national,2024-09-13,SURVEY,fcs,21237763,0.621641060855918
YEM,Yemen,,national,2024-09-13,SURVEY,rcsi,18587864,0.5440770625758766
YEM,Yemen,,national,2024-09-12,SURVEY,fcs,21212365,0.6208976118468607
YEM,Yemen,,national,2024-09-12,SURVEY,rcsi,18543773,0.5427864946135742
YEM,Yemen,,national,2024-09-11,SURVEY,fcs,21213416,0.6209284221403869
YEM,Yemen,,national,2024-09-11,SURVEY,rcsi,18566408,0.5434490335858524
YEM,Yemen,,national,2024-09-10,SURVEY,fcs,21227392,0.6213375073922782
YEM,Yemen,,national,2024-09-10,SURVEY,rcsi,18482313,0.5409875264122838
YEM,Yemen,,national,2024-09-09,SURVEY,fcs,21225270,0.621275395278332
YEM,Yemen,,national,2024-09-09,SURVEY,rcsi,18372705,0.5377792396142516
YEM,Yemen,,national,2024-09-08,SURVEY,fcs,21330857,0.6243659851818409
YEM,Yemen,,national,2024-09-08,SURVEY,rcsi,18370246,0.537707263323868
