countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
YEM,Yemen,,national,,2024-06-05,SURVEY,20181392,0.5907205226484372,17880481,0.523371570822972,,,,
YEM,Yemen,,national,,2024-06-04,SURVEY,20117294,0.5888443247968301,17854773,0.5226190834406295,,,,
YEM,Yemen,,national,,2024-06-03,SURVEY,20169698,0.5903782768376586,17868478,0.5230202363725963,,,,
YEM,Yemen,,national,,2024-06-02,SURVEY,20149772,0.5897949738245151,17787296,0.5206439943205761,,,,
YEM,Yemen,,national,,2024-06-01,SURVEY,20080266,0.5877604947519653,17844759,0.5223259681206209,,,,
YEM,Yemen,,national,,2024-05-31,SURVEY,20098200,0.5882854328535265,17911632,0.5242833778265256,,,,
YEM,Yemen,,national,,2024-05-30,SURVEY,20125035,0.5890708963208234,17932701,0.5249000791124513,,,,
YEM,Yemen,,national,,2024-05-29,SURVEY,20078825,0.5877183158847663,18008106,0.5271072251784831,,,,
YEM,Yemen,,national,,2024-05-28,SURVEY,19966637,0.5844345110594102,18017262,0.5273752263638234,,,,
YEM,Yemen,,national,,2024-05-27,SURVEY,20048015,0.5868164901398629,18039136,0.5280154904450962,,,,
YEM,Yemen,,national,,2024-05-26,SURVEY,20003917,0.585525717283688,18099612,0.529785656422012,,,,
YEM,Yemen,,national,,2024-05-25,SURVEY,19956620,0.5841413221235238,18105718,0.5299643824200121,,,,
YEM,Yemen,,national,,2024-05-24,SURVEY,19985811,0.5849957446469719,18154347,0.5313877801528555,,,,
YEM,Yemen,,national,,2024-05-23,SURVEY,19970820,0.584556949783556,18146828,0.5311676948631467,,,,
YEM,Yemen,,national,,2024-05-22,SURVEY,19928574,0.5833204109062089,18114836,0.5302312713243298,,,,
YEM,Yemen,,national,,2024-05-21,SURVEY,19803312,0.579653897953719,18106129,0.529976412617388,,,,
YEM,Yemen,,national,,2024-05-20,SURVEY,19786373,0.5791580724231356,17971270,0.5260290150798378,,,,
YEM,Yemen,,national,,2024-05-19,SURVEY,19671629,0.5757994636932154,17885350,0.523514089146631,,,,
YEM,Yemen,,national,,2024-05-18,SURVEY,19665775,0.5756281138746286,17882030,0.5234169109099196,,,,
YEM,Yemen,,national,,2024-05-17,SURVEY,19632912,0.5746662072232375,17821269,0.5216384028253344,,,,
YEM,Yemen,,national,,2024-05-16,SURVEY,19553837,0.5723516266875791,17783086,0.5205207652914932,,,,
YEM,Yemen,,national,,2024-05-15,SURVEY,19441189,0.5690543574077389,17789829,0.5207181366318984,,,,
YEM,Yemen,,national,,2024-05-14,SURVEY,19160332,0.5608335384876488,17831038,0.5219243468598024,,,,
