location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,8382,15,2017-06-30,2017-06-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,8382,16,2017-09-30,2017-09-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,8382,32,2018-06-30,2018-06-30
YEM,True,True,Amran,Huth,YE29,Amran,YE2902,Huth,Yemen conflict,BA,9960,37,2018-11-30,2018-11-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,58,3,2015-07-30,2015-07-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,3541,9,2016-06-30,2016-06-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,3078,10,2016-07-31,2016-07-31
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,3216,11,2016-09-30,2016-09-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,5856,12,2016-12-31,2016-12-31
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,5508,13,2017-02-28,2017-02-28
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,5688,14,2017-04-30,2017-04-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,6000,15,2017-06-30,2017-06-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,6000,16,2017-09-30,2017-09-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,5718,32,2018-06-30,2018-06-30
YEM,True,True,Amran,Iyal Surayh,YE29,Amran,YE2918,Eyal Surayh,Yemen conflict,BA,7128,37,2018-11-30,2018-11-30
YEM,True,True,Amran,Jabal Iyal Yazid,YE29,Amran,YE2912,Jabal Eyal Yazid,Yemen conflict,BA,42,3,2015-07-30,2015-07-30
