Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,3,31533,0.4
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,4,19708,0.25
Apr 2024,SDN,47208125,South Kordofan,Kadugli,first projection,2024-06-01,2024-09-30,5,3942,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,all,78833,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,3+,43358,0.55
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,1,7883,0.1
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,2,27592,0.35
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,3,23650,0.3
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,4,19708,0.25
Apr 2024,SDN,47208125,South Kordofan,Kadugli,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,all,249303,1.0
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,3+,124651,0.5
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,1,37395,0.15
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,2,87256,0.35
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,3,87256,0.35
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,4,37395,0.15
Apr 2024,SDN,47208125,South Kordofan,Heiban,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,all,249303,1.0
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,3+,149582,0.6
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,1,24930,0.1
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,2,74791,0.3
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,3,99721,0.4
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,4,49861,0.2
Apr 2024,SDN,47208125,South Kordofan,Heiban,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,all,249303,1.0
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,3+,99721,0.4
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,1,37395,0.15
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,2,112186,0.45
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,3,74791,0.3
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,4,24930,0.1
Apr 2024,SDN,47208125,South Kordofan,Heiban,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,all,130089,1.0
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,3+,65044,0.5
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,1,19513,0.15
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,2,45531,0.35
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,3,45531,0.35
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,4,19513,0.15
Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Um durein,first projection,2024-06-01,2024-09-30,all,130089,1.0
Apr 2024,SDN,47208125,South Kordofan,Um durein,first projection,2024-06-01,2024-09-30,3+,78054,0.6
