id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2,fatalities,event_id_cnty
519681,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Al Khiwai,SD18105,9583,2024-12-17T00:00:00,2024,12,18,BA,Al Khiwai,135,14
519682,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Al Meiram,SD18106,36973,2024-12-17T00:00:00,2024,12,18,BA,Al Meiram,21,11
519548,Armed Clashes in Sudan (Overview),Sudan,SDN,West Darfur,SD04,Kereneik,SD04125,43025,2024-12-17T00:00:00,2024,12,18,BA,Kereneik,95,30
519651,Armed Clashes in Sudan (Overview),Sudan,SDN,Aj Jazirah,SD15,Al Hasahisa,SD15034,13994,2024-12-17T00:00:00,2024,12,18,BA,Al Hasahisa,526,450
519680,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Al Idia,SD18104,97570,2024-12-17T00:00:00,2024,12,18,BA,Al Idia,28,22
519526,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Mershing,SD03145,80145,2024-12-17T00:00:00,2024,12,18,BA,Mershing,40,28
519606,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Haya,SD10070,4715,2024-12-17T00:00:00,2024,12,18,BA,Haya,0,3
519675,Armed Clashes in Sudan (Overview),Sudan,SDN,West Kordofan,SD18,Abyei,SD18087,22413,2024-12-17T00:00:00,2024,12,18,BA,Abyei,285,110
519510,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,As Serief,SD02118,13405,2024-12-17T00:00:00,2024,12,18,BA,As Serief,0,4
519655,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Abu Hamad,SD16008,82970,2024-12-17T00:00:00,2024,12,18,BA,Abu Hamad,0,6
519613,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Kassla,SD11056,6235,2024-12-17T00:00:00,2024,12,18,BA,Reifi Kassla,0,1
519657,Armed Clashes in Sudan (Overview),Sudan,SDN,River Nile,SD16,Shendi,SD16010,322878,2024-12-17T00:00:00,2024,12,18,BA,Shendi,70,64
519663,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Delgo,SD17015,40940,2024-12-17T00:00:00,2024,12,18,BA,Delgo,0,3
519502,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Sharg An Neel,SD01004,19550,2024-12-17T00:00:00,2024,12,18,BA,Sharg An Neel,739,350
519559,Armed Clashes in Sudan (Overview),Sudan,SDN,East Darfur,SD05,Yassin,SD05165,81610,2024-12-17T00:00:00,2024,12,18,BA,Yassin,22,6
519620,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Al Butanah,SD12073,32765,2024-12-17T00:00:00,2024,12,18,BA,Al Butanah,24,9
519501,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Bahri,SD01003,28473,2024-12-17T00:00:00,2024,12,18,BA,Bahri,1368,998
519584,Armed Clashes in Sudan (Overview),Sudan,SDN,Blue Nile,SD08,Ed Damazine,SD08105,188169,2024-12-17T00:00:00,2024,12,18,BA,Ed Damazine,27,45
519668,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Merowe,SD17020,126804,2024-12-17T00:00:00,2024,12,18,BA,Merowe,44,30
